Site,Region / State,Country,First in Human Trial Experience,GBM Contributions,Medical device trial experience,Trial Rank,Neuro-oncology Network Contributions,Possible Network KOL,Neuro-Oncology Publication Record (from 2020),Key Opinion Leaders,Estimated volume (beds),Volume quintile (by country),Catchment Complementarity (number of centres <150m away)
"Yale University, New Haven ",Connecticut,USA,Phase I drug (CTIMP) trials only,"NRG BN001,GBM AGILE","Neuropace RNS,LITT",3,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,1541,5,8+
"Emory University, Atlanta",Georgia,USA,Phase I drug (CTIMP) trials only,"RTOG 0825,EF-14",Neuropace RNS,3,,,,,605,3,3-4
"Northwestern University, Chicago",Illinois,USA,Phase I drug (CTIMP) trials only,"NRG BN001,EF-14,NUTMEG",LITT,3,Leadership roles in networks,"Vinai Gondi (radiation)

",,,885,4,3-4
"Duke University, Durham",North Carolina,USA,Phase I drug (CTIMP) trials only,"GBM AGILE,NUTMEG,VERTU",LITT,3,Leadership roles in networks,Erik Sulman (Raidation),,,943,4,3-4
Wake Forest Baptist Comprehensive Cancer Center,North Carolina,USA,Phase I drug (CTIMP) trials only,"NRG BN001,RTOG 0825","Neuropace RNS,LITT",3,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,872,4,3-4
"University of Texas Southwestern Medical Center, Dallas",Texas,USA,Phase I drug (CTIMP) trials only,NRG BN001,"Neuropace RNS,Neuralink,LITT",3,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,460,2,1-2
"MD Anderson Cancer Center, Houston",Texas,USA,Phase I drug (CTIMP) trials only,"RTOG 0825,GBM AGILE",LITT,3,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,631,3,3-4
"Cleveland Clinic, Cleveland",Ohio,USA,Phase I neurooncology trial,"RTOG 0825,NRG BN001,EF-14","Neuropace RNS,LITT",3,,,,,1268,5,5-7
"Barrow Neurological Institute, Phoenix",Arizona,USA,Industry-sponsored Phase I Device Trial,"RTOG 0825,NRG BN001","Neuralink,LITT",3,,,,,607,3,1-2
"UCSD, La Jolla",California,USA,Phase I drug (CTIMP) trials only,EF-14,LITT,2,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,173,2,5-7
"UCSF, San Francisco",California,USA,Phase I neurooncology trial,GBM AGILE,Neuropace RNS,2,Leadership roles in networks,"Shawn Hervey-Jumper (Neurosurgery)
Susan Chang (Neuro-oncology)
Javier Villanueva-Meyer (Radiology)
David Raleigh (Radiation)
",,,580,3,1-2
"Stanford, Stanford",California,USA,Phase I drug (CTIMP) trials only,GBM AGILE,Manual override,2,,,,,613,3,1-2
"Mayo Clinic, Jacksonville",Florida,USA,Phase I neurooncology trial,RTOG 0825,Neuropace RNS,2,,,,,304,2,1-2
"Johns Hopkins University, Baltimore",Maryland,USA,Phase I drug (CTIMP) trials only,NRG BN001,Neuropace RNS,2,Leadership roles in networks,"Karisa Schreck (Oncology)
",,,951,5,8+
"Mayo Clinic, Rochester",Minnesota,USA,Phase I drug (CTIMP) trials only,Manual override,Neuropace RNS,2,Leadership roles in networks,"Evanthia Galanis (Oncology)
Jann Sarkaria (Radiation)
",,,1265,5,3-4
"Washington University, St Louis",Missouri,USA,Phase I drug (CTIMP) trials only,EF-14,LITT,2,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,1110,5,0
"Columbia University, New York",New York,USA,Phase I neurooncology trial,GBM AGILE,Neuropace RNS,2,Leadership roles in networks,"Andrew Lassman (Neurology)
",,,1007,5,8+
"NYU Langone Health, New York",New York,USA,Phase I drug (CTIMP) trials only,VERTU,LITT,2,,,,,844,4,8+
"University of Pittsburgh Medical Center, Pittsburgh",Pennsylvania,USA,Phase I neurooncology trial,EF-14,LITT,2,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,1592,5,1-2
"Thomas Jefferson University, Philadelphia",Pennsylvania,USA,Phase I drug (CTIMP) trials only,RTOG 0825,Neuropace RNS,2,,,,,951,5,8+
"Baylor College of Medicine, Houston",Texas,USA,Phase I drug (CTIMP) trials only,EF-14,Neuropace RNS,2,,,,,864,4,3-4
"University of Virginia, Charlottesville",Virginia,USA,Phase I neurooncology trial,RTOG 0825,Neuropace RNS,2,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,614,3,5-7
"University of Wisconsin, Madison",Wisconsin,USA,Phase I drug (CTIMP) trials only,RTOG 0825,Neuropace RNS,2,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,672,3,3-4
"Henry Ford Cancer Institute, Detroit",Michigan,USA,Manually included ,GBM AGILE,Neuropace RNS,2,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,877,4,3-4
"Addenbrooke's Hospital, Cambridge",East of England,UK,Phase I drug (CTIMP) trials only,"GALA-5,IPI-GLIO,OPARATIC","Gliadel,Medtronic",3,Leadership roles in networks,Stephen Price (Neurosurgery),,,1028,3,5-7
"King's College Hospital, London",Greater London,UK,Phase I drug (CTIMP) trials only,GALA-5,"Gliadel,Medtronic",3,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,1319,4,8+
"University College London Hospital (including NHNN), London",Greater London,UK,Phase I neurooncology trial,"GALA-5,IPI-GLIO","Neuralink,Gliadel,Medtronic",3,,,,,670,2,8+
"Walton Centre, Liverpool",North West England,UK,Manually included ,GALA-5,"Gliadel,Medtronic",3,Leadership roles in networks,"Andrew Brodbelt (Neurosurgery)
Rasheed Zakaria (Neurosurgery)",,,126,1,3-4
"Southern General Hospital, Glasgow",Scotland,UK,Phase I drug (CTIMP) trials only,"OPARATIC,ReoGlio,GBM AGILE","Gliadel,Medtronic",3,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,1109,4,1-2
"John Radcliffe Hospital, Oxford",South East England,UK,Phase I drug (CTIMP) trials only,IPI-GLIO,Medtronic,2,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,1032,4,5-7
"North Bristol NHS Trust, Bristol",South West England,UK,Manually included ,OPARATIC,Medtronic,2,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,949,3,1-2
"Leeds Teaching Hospitals, Leeds",Yorkshire and the Humber,UK,Phase I drug (CTIMP) trials only,ReoGlio,Gliadel,2,Leadership roles in networks,"Susan Short (Oncology)
",,,1725,5,5-7
"Royal Brisbane & Women's Hospital, Herston",Queensland,AUS,Phase I drug (CTIMP) trials only,"MAGMA,NUTMEG,VERTU",DBS,3,Leadership roles in networks,"Hamish Alexander (Neurosurgery)
",,,1000,5,3-4
"St Vincent's Hospital, Sydney",New South Wales,AUS,Phase I drug (CTIMP) trials only,"MAGMA,NUTMEG,VERTU",DBS,3,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,403,2,8+
"Austin Health, Heidelberg ",Victoria,AUS,Phase I drug (CTIMP) trials only,"GBM AGILE,MAGMA,CABARET","ADEPT,NeuraVista,SEEG",3,Leadership roles in networks,Hui Gan (Oncology),,,800,4,3-4
"St Vincent's Hospital, Fitzroy",Victoria,AUS,Phase I drug (CTIMP) trials only,MAGMA,"ADEPT,NeuraVista",3,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,880,5,3-4
"Royal Melbourne Hospital / Melbourne Health, Melbourne",Victoria,AUS,Phase I drug (CTIMP) trials only,"MAGMA,VERTU,CABARET","NeuraVista,DBS",3,"Trial platform participation (NCTN, NIHR, CRN, NHMRC)",,,,1084,5,3-4
